context,question,answerA,answerB,answerC,label
Kendall took Skylar's schedule into account when planning the trip for their summer vacation.,How would you describe Kendall?,supported,include Skylar,pleased,1
Quinn wore jeans to school the next day even though the doctor told him not to because of swelling.,What does Quinn do this?,loved his jeans and did not believe that he would swell that much,loved his jeans and knew the doctor was just and old fuddy duddy,skip school daily,1
Austin was an intern and so he worked without pay.,What will Austin want to do next?,drop the internship and live in a van,continue working as an intern forever,find a job that pays them a wage,3
cameron was challenged to a dual so he had to put up or shut up.,How would you describe Cameron?,scared,as smart,as stupid,1
Remy joined a band and was so good that he was offered a solo contract and took it.,What will happen to Others?,be resentful of Remy,be thrilled to be rid of Remy,look forward to possible fame,1
Quinn threw the frisbee so the dog could play with it.,What will Others want to do next?,ignore the frisbee,Call the dog's name,watch it fly,3
Jan went off to college and found new friends.,What will the friends want to do next?,did this for a fresh start,hang out at Jan's place,did this to meet new people,2
Sasha helped Jordan.,What will Sasha want to do next?,help herself,Beat others down,friends with Jordan,3
Austin wrapped a belt around the waist of the bull rider.,Why did Austin do this?,make sure he has a good hold of it,The bull rider had injured his arm during the event,The man was very intoxicated and couldn't see straight,1
"Jordan mentioned Casey in chapter one, because he is planning on bending the knee with a ring in hand very soon.",What will Jordan want to do next?,go to a theme park with Casey,propose to Casey for marriage,buy the ring,2
"After Bailey went to bed, Carson crept into the kitchen and ate Bailey's candy.",Why did Carson do this?,begin a new weight loss diet,give Bailey all of the candy,enjoy a late night snack,3
Remy at some ice cream while watching their favorite show and relaxing on the couch.,How would you describe Remy?,someone who enjoys creature hunting,someone who likes feeling good,satisfied,3
Taylor made a cake that was their mother's favorite.  It was their mother's birthday.,How would you describe Taylor?,very considerate,proud,happy,1
Jordan was mentioned in Casey's chapter but the description of her wasn't very flattering.,What will Jordan want to do next?,tell Casey what she thought of her,Ask Casey to delete the chapter,Ask Casey to autograph the book,2
Alex helped Casey escape from harms way to keep them safe.,How would Alex feel afterwards?,capable,Like Carson should be safe,Good for helping,3
Cameron continued playing with the dog to the point he stayed out till it was dark.,What does Cameron need to do before this?,have a cat,have an iguana,be a playful person,3
Kendall grabbed Jordan's hands tightly after Jordan proposed marriage to Kendall.,How would Kendall feel afterwards?,unappreciated,happy,cheated,2
Addison took long walks on the beach to lose weight.,How would Addison feel afterwards?,Well exercised,dedicated to the goal,Lazy,2
Cameron got to the yard and stopped the dog fight before someone else.,What will Cameron want to do next?,wash his hands good,laugh at the dogs,save on vet bills,1
Tracy took Sydney to school 4 hours after the bell rang the students in.,How would Tracy feel afterwards?,guilty,irresponsible,unreliable,2
"Seeing that she was very nice and friendly, Jan made friends with Taylor.",What will Jan want to do next?,spend time with Taylor,ignore Taylor's calls,go and greet Taylor nicely,1
Tracy crossed the Rubicon and went across to see everything else.,What will Tracy want to do next?,pack smartly,want to know,wanted to be great,2
Jordan took their mother to the shoe store that she did not like going to.,What will happen to the mother?,argue with his mother,go to a different store,scold Jordan,3
Robin changed Aubrey into clean clothes after spilling food over the dress they were wearing.,Why did Robin do this?,have Aubrey eat the food all over her dress,keep Aubrey in the kitchen preparing food,have Aubrey looking and feeling fresh,3
"Remy thought she was having a boy, but Remy gave birth to a baby girl.",What will Remy want to do next?,return some of the boy colored clothes,name the baby,name the baby Brad,1
Robin wrapped their coat around Ash's shoulders because Ash was shivering uncontrollably for a while.,What will Robin want to do next?,go inside,be a gentleman,be warm,1
"It had been a very long 9 months but it was finally time, Jan gave birth to a daughter that day.",What does Jan need to do before this?,get pregnant,be a man,she liked kids,1
Skylar knew they were nervous and he wanted to ease their minds.,What does Skylar need to do before this?,insult their worries,put together a strong presentation detailing his ideas on how to proceed,start acting rashly without thinking ahead,2
Robin proposed another solution after the first one was not successful.,What does Robin need to do before this?,choose a solution that would fail,come up with other solutions,avoid thinking about the problem,2
Quinn enjoyed the book after being told they were not going to like it.,What will happen to Quinn?,content,upset,know the others were wrong,1
Jesse had made popcorn for Jesse and Lee.,How would you describe Jesse?,annoyed,nice,sharing,2
Alex took care of his car in the right way and painted it so many times.,Why did Alex do this?,Chose a paint color,resell the car,angry,2
"Austin had more than they could handle, so Austin offered Sydney a position at work.",How would you describe Austin?,proud,a supervisor,strong,2
Remy saved the town from destruction after the tornado had hit.,How would Others feel as a result?,very grateful,glad that they saved the town,very bitter,1
Robin held her breath underwater in the pool.,How would you describe Robin?,exhausted,fun,tired,2
Cameron layered clothes on to walk to the city in the middle of winter.,What will Cameron want to do next?,spend the day in the sun,change into shorts,go get a better jacket,3
riley came home and made some pie in the kitchen.,How would you describe Riley?,as lazy,as ambitious,ready to eat the pie,2
Kendall opened their microphone to speak but the microphone refused to work and Kendall just stood on stage.,What will happen to Kendall?,get the microphone to work,awkward on stage,Others will laugh,1
Sydney put on their clothes and the boys got ready for school.,Why did Sydney do this?,wanted the boys to be self-sufficient,wanted the boys to loaf,wanted to be a good mother,3
Riley had fallen off his bike making a turn. Riley began to hurt and held his arm.,How would Riley feel afterwards?,accident prone,pain,good,2
Kendall poured water on the fire to put it out safely.,Why did Kendall do this?,Fill the bucket with water,be dangerous,extinguish the flames,3
Cameron left the event early because he needed to get changed for a gala even at night.,Why did Cameron do this?,left because he had to change clothes,didnt like the host of the event,go home and change,1
Alex saw Taylor last night at the county fair rides.,What will Taylor want to do next?,Go home,Speak to her,Ignore each other,2
Alex made their escape into the night after stealing money out of their mother's purse.,How would you describe Alex?,a thief of a son,trying to get back home,guilty,1
Alex is a politician in charge of his electoral district whole role affects the people around him.,What will Others want to do next?,run for office,be elected to office,obey the law,3
"Alex owned a bookstore and had a lot of books, Alex also sold books on amazon.",Why did Alex do this?,buy books from a wholesaler,reduce inventory,rent space for the bookstore,2
austin just got a new computer so the first thing he did was make an email.,How would Others feel as a result?,uptight,nervous,content,3
Sydney is Addison's boyfriend at the local high school.,What will happen to Addison?,get a kiss,run away from Sydney,hit Sydney,1
Sasha set their trash on fire to get rid of it quickly.,How would you describe Sasha?,dirty,Very efficient,Inconsiderate,2
Alex was checking for breast cancer so they grasped both of their breasts firmly.,What will Alex want to do next?,find the cancer,examine their breasts,go to a doctor,2
Ash cannot function and be productive without having breakfast.,What will Ash want to do next?,wash the dishes,go back to sleep,go to school,1
Tracy gave birth to Addison and it was a healthy baby with some hair.,What will Addison want to do next?,lazy,have a child of her own,loved,3
Alex walked Robin towards the execution chamber for her last meal.,Why did Alex do this?,work at the jail,So Robin can eat,release her,2
Carson needed their tools so Kai grabbed their tools and brought it to them.,What will Carson want to do next?,realize which exact tools they needed,build something with the tools,thank Carson for the help,2
