id,question,A,B,C,D,answer
429,The woman covered her mouth with her hand. This happened because,She exhaled.,She sneezed.,None of the above choices are correct.,I do not know the answer to this question.,B
430,"The secretary put the caller on hold. As a result,",The caller's phone lost reception.,The caller waited on the line.,None of the above choices are correct.,I do not know the answer to this question.,B
431,The woman walked with crutches. This happened because,She shaved her legs.,She broke her leg.,None of the above choices are correct.,I do not know the answer to this question.,B
432,I coughed. This happened because,I inhaled smoke.,I lowered my voice.,None of the above choices are correct.,I do not know the answer to this question.,A
433,The clock chimed. This happened because,It was the top of the hour.,The hour seemed to drag on.,None of the above choices are correct.,I do not know the answer to this question.,A
434,"The chef hit the egg on the side of the bowl. As a result,",The egg cracked.,The egg rotted.,None of the above choices are correct.,I do not know the answer to this question.,A
435,The police searched the offender's car. This happened because,They were trying to elicit a confession.,They were looking for illegal drugs.,None of the above choices are correct.,I do not know the answer to this question.,B
436,The couple travelled south for the winter. This happened because,They were retired.,They were separated.,None of the above choices are correct.,I do not know the answer to this question.,A
437,The man felt obligated to attend the event. This happened because,He turned down his friend's invitation to go.,He promised his friend that he would go.,None of the above choices are correct.,I do not know the answer to this question.,B
438,"The bride got cold feet before the wedding. As a result,",The wedding guests brought gifts.,She called the wedding off.,None of the above choices are correct.,I do not know the answer to this question.,B
439,"The man grew old. As a result,",His hair turned gray.,He sold his belongings.,None of the above choices are correct.,I do not know the answer to this question.,A
440,"The friends decided to share the hamburger. As a result,",They cut the hamburger in half.,They ordered fries with the hamburger.,None of the above choices are correct.,I do not know the answer to this question.,A
441,"I twisted the cap off the soda bottle. As a result,",The soda fizzed.,The soda leaked out.,None of the above choices are correct.,I do not know the answer to this question.,A
442,The pair of students came under scrutiny by the teacher. This happened because,The students both received excellent grades.,Their responses on the assignment were identical.,None of the above choices are correct.,I do not know the answer to this question.,B
443,"The student was in a rush to get to school on time. As a result,",He left his assignment at home.,He brought his lunch to school.,None of the above choices are correct.,I do not know the answer to this question.,A
444,The journalist wrote a biography about the humanitarian's life. This happened because,The humanitarian was difficult for the journalist to interview.,The journalist was intrigued by the humanitarian's work.,None of the above choices are correct.,I do not know the answer to this question.,B
445,"The man defied the authorities of the church. As a result,",He donated money to the church.,He was excommunicated from the church.,None of the above choices are correct.,I do not know the answer to this question.,B
446,"The woman's hair fell in her face. As a result,",She pulled her hair back with a clip.,She lathered shampoo into her hair.,None of the above choices are correct.,I do not know the answer to this question.,A
447,The ring on my finger got stuck. This happened because,My finger swelled.,I chipped my fingernail.,None of the above choices are correct.,I do not know the answer to this question.,A
448,"I pulled the rubber band. As a result,",It flung across the room.,It stretched.,None of the above choices are correct.,I do not know the answer to this question.,B
449,"I pressed my hand into the wet cement. As a result,",My handprint dried in the cement.,Cracks emerged in the cement.,None of the above choices are correct.,I do not know the answer to this question.,A
450,My skin broke out into a rash. This happened because,I brushed against poison ivy in my yard.,I eradicated the poison ivy from my yard.,None of the above choices are correct.,I do not know the answer to this question.,A
451,"My subscription to the magazine expired. As a result,",I discarded the new issue.,I stopped receiving new issues.,None of the above choices are correct.,I do not know the answer to this question.,B
452,"The detective revealed an anomaly in the case. As a result,",He finalized his theory.,He scrapped his theory.,None of the above choices are correct.,I do not know the answer to this question.,B
453,The boy threw a temper tantrum. This happened because,His brother took his toys from him.,He shared his toys with his brother.,None of the above choices are correct.,I do not know the answer to this question.,A
454,The child learned how to read. This happened because,He began attending school.,He skipped a grade in school.,None of the above choices are correct.,I do not know the answer to this question.,A
455,The boy skipped dinner. This happened because,His mother cooked his favorite meal.,He ate a big lunch.,None of the above choices are correct.,I do not know the answer to this question.,B
456,The woman lavished her friend with flattery. This happened because,She wanted to ask her friend for a favor.,She was irritated with her friend's whining.,None of the above choices are correct.,I do not know the answer to this question.,A
457,The key was missing from my pants pocket. This happened because,The pocket had a hole.,The pants were new.,None of the above choices are correct.,I do not know the answer to this question.,A
458,The man fainted. This happened because,He took a nap.,He ran a marathon.,None of the above choices are correct.,I do not know the answer to this question.,B
459,The man lost the competition. This happened because,The competition was sabotaged.,He intimidated his competitors.,None of the above choices are correct.,I do not know the answer to this question.,A
460,The mother called an ambulance. This happened because,Her son lost his cat.,Her son fell out of his bed.,None of the above choices are correct.,I do not know the answer to this question.,B
461,The driver slammed on his brakes. This happened because,A deer appeared on the road.,The car radio shut off.,None of the above choices are correct.,I do not know the answer to this question.,A
462,The lock opened. This happened because,I turned the key in the lock.,I made a duplicate of the key.,None of the above choices are correct.,I do not know the answer to this question.,A
463,I put rubber gloves on. This happened because,I was preparing to wash my hands.,I was preparing to clean the bathroom.,None of the above choices are correct.,I do not know the answer to this question.,B
464,The animal species became endangered. This happened because,Their habitat was destroyed.,Their predators went extinct.,None of the above choices are correct.,I do not know the answer to this question.,A
465,The man perceived that the woman looked different. This happened because,The woman got her hair cut.,The woman wore a bracelet.,None of the above choices are correct.,I do not know the answer to this question.,A
466,"The student forgot to do her assignment. As a result,",She made up an excuse to tell the teacher.,The teacher promoted her to the next grade.,None of the above choices are correct.,I do not know the answer to this question.,A
467,The dog barked. This happened because,The cat lounged on the couch.,A knock sounded at the door.,None of the above choices are correct.,I do not know the answer to this question.,B
468,"Plans were announced to replace a local park with a shopping mall. As a result,",Environmentalists started a petition.,Environmentalists produced a documentary.,None of the above choices are correct.,I do not know the answer to this question.,A
469,"The couple was happy to see each other. As a result,",They kissed.,They rested.,None of the above choices are correct.,I do not know the answer to this question.,A
470,The woman asked the man to leave. This happened because,He insulted her.,He thanked her.,None of the above choices are correct.,I do not know the answer to this question.,A
471,"The tree branch landed in the river. As a result,",The branch moved downstream.,The river's current became stronger.,None of the above choices are correct.,I do not know the answer to this question.,A
472,"The teacher assigned homework to the students. As a result,",The students passed notes.,The students groaned.,None of the above choices are correct.,I do not know the answer to this question.,B
473,"The seasons changed from summer to autumn. As a result,",People evacuated their homes.,Leaves fell from the trees.,None of the above choices are correct.,I do not know the answer to this question.,B
474,"The politician was convicted of fraud. As a result,",He campaigned for re-election.,He was removed from office.,None of the above choices are correct.,I do not know the answer to this question.,B
475,"I pushed the wagon. As a result,",The objects in the wagon fell out.,The wagon wheels spun forward.,None of the above choices are correct.,I do not know the answer to this question.,B
476,"The lobbyist persuaded the legislature to support the bill. As a result,",The president vetoed the bill.,The legislature passed the bill.,None of the above choices are correct.,I do not know the answer to this question.,B
477,"My closet was messy. As a result,",I organized it.,I decorated it.,None of the above choices are correct.,I do not know the answer to this question.,A
478,"I stayed up late. As a result,",I had vivid dreams that night.,I was tired in the morning.,None of the above choices are correct.,I do not know the answer to this question.,B
479,The man's pocket jingled as he walked. This happened because,His pocket was filled with coins.,He sewed the hole in his pocket.,None of the above choices are correct.,I do not know the answer to this question.,A
480,Everyone in the class turned to stare at the student. This happened because,The student's phone rang.,The student took notes.,None of the above choices are correct.,I do not know the answer to this question.,A
481,The horse bucked. This happened because,A fly bit the horse.,The rider stroked the horse.,None of the above choices are correct.,I do not know the answer to this question.,A
482,"The jewelry thieves were caught. As a result,",The stolen jewelry was returned to its owners.,The cost of the stolen jewelry was calculated.,None of the above choices are correct.,I do not know the answer to this question.,A
483,"Political violence broke out in the nation. As a result,",Many citizens relocated to the capitol.,Many citizens took refuge in other territories.,None of the above choices are correct.,I do not know the answer to this question.,B
484,The woman was arrested. This happened because,She checked into rehab.,She committed assault.,None of the above choices are correct.,I do not know the answer to this question.,B
485,"The woman read the newspaper. As a result,",She discovered the outcome of the election.,She casted a vote in the election.,None of the above choices are correct.,I do not know the answer to this question.,A
486,"The sick child coughed on his friend. As a result,",His friend got sick.,His friend sneezed.,None of the above choices are correct.,I do not know the answer to this question.,A
487,"The couple got engaged. As a result,",They planned a wedding.,They took some time apart.,None of the above choices are correct.,I do not know the answer to this question.,A
488,The woman contacted the real estate agent. This happened because,The woman planned to buy a condo.,The woman needed to clean her house.,None of the above choices are correct.,I do not know the answer to this question.,A
489,"The man won the lottery. As a result,",He became rich.,He owed money.,None of the above choices are correct.,I do not know the answer to this question.,A
490,"I lit the candle. As a result,",Wax dripped off the candle.,The wax on the candle hardened.,None of the above choices are correct.,I do not know the answer to this question.,A
491,"I spent the day at the pool. As a result,",I sprained my ankle.,My face got sunburned.,None of the above choices are correct.,I do not know the answer to this question.,B
492,The man received a parking ticket. This happened because,He parallel parked on the street.,The parking meter expired.,None of the above choices are correct.,I do not know the answer to this question.,B
493,"The woman became famous. As a result,",Photographers followed her.,Her family avoided her.,None of the above choices are correct.,I do not know the answer to this question.,A
494,"The girl wanted to wear earrings. As a result,",She got her ears pierced.,She got a tattoo.,None of the above choices are correct.,I do not know the answer to this question.,A
495,My ears were ringing. This happened because,I went to a museum.,I went to a concert.,None of the above choices are correct.,I do not know the answer to this question.,B
496,I tidied up my house. This happened because,I was swamped with work.,I was expecting company.,None of the above choices are correct.,I do not know the answer to this question.,B
497,"The airline mishandled my luggage. As a result,",They offered me compensation.,They cancelled my flight.,None of the above choices are correct.,I do not know the answer to this question.,A
498,"The computer was expensive to fix. As a result,",I got it repaired.,I bought a new one.,None of the above choices are correct.,I do not know the answer to this question.,B
499,"The woman was in a bad mood. As a result,",She engaged in small talk with her friend.,She told her friend to leave her alone.,None of the above choices are correct.,I do not know the answer to this question.,B
